,backnumber,player_id,team_id,position,birthday,profile,school
3,42,김태군,KIA,포수,12/30/1989,"182cm, 92kg",양정초-대동중-부산고-LG-NC-경찰-NC-삼성
4,10,김태형,KIA,투수,12/15/2006,"184cm, 95kg",화순초-거원중-덕수고
5,32,김현수,KIA,투수,7/10/2000,"185cm, 90kg",효제초-홍은중-장충고-롯데-KIA-상무
6,27,김호령,KIA,외야수,4/30/1992,"178cm, 85kg",관산초-안산중앙중-군산상고-동국대-KIA-경찰
7,47,나성범,KIA,외야수,10/3/1989,"183cm, 100kg",광주대성초-진흥중-진흥고-연세대-NC
8,29,나연우,KIA,투수,7/24/2006,"184cm, 90kg",상일초-배재중-휘문고
9,40,네일,KIA,투수,2/8/1993,"193cm, 83kg",미국 Alabama at Birmingham(대)
10,3,박건우,KIA,투수,6/3/1998,"193cm, 97kg",다솜초-언북중-덕수고-고려대
11,2,박민,KIA,내야수,6/5/2001,"184cm, 84kg",갈산초-성남중-야탑고-KIA-상무
12,5,박상준,KIA,내야수,8/21/2001,"178cm, 104kg",석교초-세광중-세광고-강릉영동대
13,36,박재현,KIA,외야수,12/8/2006,"180cm, 73kg",동막초-재능중-인천고
14,15,박정우,KIA,외야수,2/1/1998,"175cm, 68kg",역삼초-언북중-덕수고
15,31,박준표,KIA,투수,6/26/1992,"181cm, 93kg",송정동초-진흥중-중앙고-동강대-KIA-경찰
16,1,박찬호,KIA,내야수,6/5/1995,"178cm, 72kg",신답초-건대부중-장충고
17,36,박헌,KIA,외야수,1/5/2006,"185cm, 90kg",광주수창초-충장중-광주제일고
18,29,변우혁,KIA,내야수,3/18/2000,"185cm, 100kg",일산초-현도중-북일고-한화-상무-한화
19,58,서건창,KIA,내야수,8/22/1989,"176cm, 84kg",송정동초-충장중-광주제일고-LG-히어로즈-키움-LG
0,39,성영탁,KIA,투수,7/28/2004,"180cm, 89kg",동주초(부산서구리틀)-개성중-부산고
1,42,신명승,KIA,포수,11/2/2002,"183cm, 94kg",광주수창초-진흥중-진흥고
2,59,양수호,KIA,투수,9/9/2006,"187cm, 82kg",보성초(대전중구리틀)-공주중-공주고
3,54,양현종,KIA,투수,3/1/1988,"183cm, 91kg",학강초-광주동성중-광주동성고-KIA-텍사스
4,31,엄준현,KIA,내야수,4/20/2006,"174cm, 75kg",서울이수초-언북중-전주고
5,8,예진원,KIA,외야수,3/16/1999,"172cm, 82kg",양정초-부산중-경남고-넥센-키움-상무-키움
6,22,오규석,KIA,투수,12/4/2001,"187cm, 97kg",희망대초-휘문중-휘문고
7,56,오선우,KIA,내야수,12/13/1996,"186cm, 95kg",성동초-자양중-배명고-인하대
8,7,오정환,KIA,내야수,3/27/1999,"185cm, 85kg",강남초-자양중-경기고
9,33,올러,KIA,투수,10/17/1994,"193cm, 102kg",미국 Northwestern State(대)
10,45,위즈덤,KIA,내야수,8/27/1991,"188cm, 99kg",미국 Saint Mary's(대)
11,50,유승철,KIA,투수,3/2/1998,"184cm, 87kg",순천북초-순천이수중-효천고
12,4,유지성,KIA,투수,11/15/2000,"189cm, 94kg",수유초-자양중-북일고
13,9,윤도현,KIA,내야수,5/7/2003,"181cm, 84kg",광주화정초-무등중-광주제일고
14,13,윤영철,KIA,투수,4/20/2004,"187cm, 87kg",창서초(서대문구리틀)-충암중-충암고
15,19,윤중현,KIA,투수,4/25/1995,"180cm, 84kg",광주서석초-무등중-광주제일고-성균관대
16,15,이도현,KIA,투수,1/7/2005,"188cm, 90kg",가동초-휘문중-휘문고
17,44,이상준,KIA,포수,12/13/2005,"182cm, 105kg",서울도곡초-대치중-경기고
18,32,이성원,KIA,투수,5/18/2006,"184cm, 90kg",호동초(화성B리틀)-안산중앙중-유신고
19,14,이승재,KIA,투수,10/4/2000,"182cm, 82kg",잠신초(강남구리틀)-강남중-휘문고-강릉영동대
0,9,이영재,KIA,외야수,1/11/2002,"185cm, 95kg",연현초-평촌중-유신고
1,25,이우성,KIA,외야수,7/17/1994,"182cm, 95kg",대전유천초-한밭중-대전고-두산-상무-두산-NC
2,48,이의리,KIA,투수,6/16/2002,"185cm, 90kg",광주수창초-충장중-광주제일고
3,11,이준범,KIA,내야수,7/16/2002,"184cm, 85kg",광주대성초-광주동성중-광주동성고
4,20,이준영,KIA,투수,8/10/1992,"177cm, 85kg",군산남초-군산중-군산상고-중앙대-KIA-상무
5,8,이창진,KIA,외야수,3/4/1991,"173cm, 85kg",신도초-동인천중-인천고-건국대-롯데-KT-상무-KT
6,28,이형범,KIA,투수,2/27/1994,"181cm, 80kg",화순초-화순중-화순고-NC-경찰-NC-두산
7,63,이호민,KIA,투수,8/26/2006,"182cm, 85kg",해남북일초(해남군리틀)-이평중-전주고
8,17,임기영,KIA,투수,4/16/1993,"184cm, 86kg",대구수창초-경운중-경북고-한화-상무
9,30,임다온,KIA,투수,6/10/2005,"187cm, 91kg",수택초(남양주리틀)-청량중-경기상고
10,6,장민기,KIA,투수,12/30/2001,"182cm, 88kg",사파초-내동중-용마고-KIA-상무
11,1,장시현,KIA,내야수,12/21/2001,"178cm, 75kg",서울도곡초-언북중-충암고
12,38,장재혁,KIA,투수,8/2/2001,"180cm, 86kg",부산금강초-대신중-경남고
13,51,전상현,KIA,투수,4/18/1996,"182cm, 88kg",남도초-경복중-대구상원고-KIA-상무
14,62,정해영,KIA,투수,8/23/2001,"189cm, 98kg",광주대성초-광주동성중-광주제일고
15,16,정해원,KIA,내야수,5/21/2004,"185cm, 87kg",제주신광초-덕수중-휘문고
16,50,조대현,KIA,투수,2/19/2005,"192cm, 85kg",남정초-영남중-강릉고
17,11,조상우,KIA,투수,9/4/1994,"186cm, 97kg",서화초-상인천중-대전고-히어로즈-키움
18,22,주효상,KIA,포수,11/11/1997,"183cm, 85kg",역북초-강남중-서울고-히어로즈-키움
19,28,최건희,KIA,투수,7/9/2002,"183cm, 70kg",가동초-덕수중-장충고-강릉영동대
0,16,최원준,KIA,외야수,3/23/1997,"178cm, 85kg",연현초-서울경원중-서울고-KIA-상무
1,23,최정용,KIA,내야수,10/24/1996,"179cm, 84kg",서원초-세광중-세광고-삼성-SK-상무
2,39,최지민,KIA,투수,9/10/2003,"185cm, 100kg",강릉율곡초(강릉리틀)-경포중-강릉고
3,34,최형우,KIA,외야수,12/16/1983,"180cm, 106kg",진북초-전주동중-전주고-삼성-경찰-삼성
4,26,한승택,KIA,포수,6/21/1994,"174cm, 83kg",잠전초(남양주리틀)-잠신중-덕수고-한화-경찰
5,55,한준수,KIA,포수,2/13/1999,"184cm, 95kg",광주서석초-광주동성중-광주동성고
6,21,홍원빈,KIA,투수,10/16/2000,"195cm, 101kg",안말초-강남중-덕수고
7,6,홍종표,KIA,내야수,5/2/2000,"178cm, 72kg",동막초-영남중-강릉고-KIA-상무
8,52,황대인,KIA,내야수,2/10/1996,"178cm, 100kg",군산신풍초-자양중-경기고-KIA-상무
9,41,황동하,KIA,투수,7/30/2002,"183cm, 96kg",진북초-전라중-인상고
0,127,강민성,삼성,내야수,2/22/2006,"183cm, 85kg",연현초-잠신중-안산공고
1,47,강민호,삼성,포수,8/18/1985,"185cm, 100kg",제주신광초-포철중-포철공고-(국제디지털대)-롯데
2,6,강한울,삼성,내야수,9/12/1991,"181cm, 66kg",사당초-중앙중-안산공고-원광대-KIA-삼성-상무
3,9,공민규,삼성,내야수,9/27/1999,"183cm, 85kg",서화초-동산중-인천고-삼성-상무
4,5,구자욱,삼성,외야수,2/12/1993,"189cm, 75kg",본리초-경복중-대구고-삼성-상무
5,41,권현우,삼성,투수,3/28/2006,"190cm, 93kg",서림초-충장중-광주제일고
6,17,김대우,삼성,투수,11/21/1988,"183cm, 85kg",역삼초-대치중-서울고-홍익대-히어로즈-상무-히어로즈
7,44,김대호,삼성,투수,10/15/2001,"185cm, 100kg",제주신광초-이평중-군산상고-고려대
8,24,김도환,삼성,포수,4/14/2000,"178cm, 90kg",언북초(의정부리틀)-영동중-신일고-삼성-상무
9,123,김동현,삼성,투수,5/25/2001,"186cm, 95kg",용현초(인천남구리틀)-동인천중-인천고-강릉영동대
10,12,김민수,삼성,포수,3/2/1991,"177cm, 80kg",대구옥산초-경복중-대구상원고-영남대-한화-상무
11,120,김백산,삼성,투수,10/13/2003,"183cm, 86kg",남산초-원주중-강릉고-부산과학기술대
12,125,김상준,삼성,내야수,12/30/2002,"176cm, 75kg",양덕초-마산동중-물금고-동원과학기술대
13,122,김성경,삼성,투수,10/1/1999,"181cm, 84kg",학강초-망운중-광주동성고-송원대(얼리 드래프트)
14,39,김성윤,삼성,외야수,2/2/1999,"163cm, 62kg",창신초(부산진구리틀)-원동중-포항제철고
15,30,김영웅,삼성,내야수,8/24/2003,"183cm, 81kg",공주중동초-야로중-물금고
16,119,김유현,삼성,투수,2/7/2004,"184cm, 93kg",광주서석초-광주동성중-광주동성고-동강대
17,48,김윤수,삼성,투수,12/8/1999,"185cm, 95kg",온양온천초-온양중-북일고-(대구대)-삼성-상무
18,2,김재성,삼성,포수,10/30/1996,"185cm, 85kg",신광초-성남중-덕수고-LG-경찰-LG
19,62,김재윤,삼성,투수,9/16/1990,"185cm, 91kg",서울도곡초-휘문중-휘문고-KT
0,8,김재혁,삼성,외야수,12/26/1999,"182cm, 85kg",제주남초-제주제일중-제주고-동아대-삼성-상무
1,124,김재형,삼성,포수,11/22/2005,"186cm, 102kg",봉천초-선린중-덕수고
2,58,김지찬,삼성,외야수,3/8/2001,"163cm, 64kg",백사초(이천시리틀)-모가중-라온고
3,108,김태근,삼성,외야수,8/10/1996,"175cm, 74kg",광진초(광진구리틀)-건대부중-배명고-건국대-두산-상무
4,25,김태훈,삼성,외야수,3/31/1996,"177cm, 78kg",진흥초(안산리틀)-평촌중-유신고-KT
5,27,김태훈,삼성,투수,3/2/1992,"187cm, 101kg",남부민초-대신중-부경고-히어로즈-경찰-히어로즈-키움
6,32,김헌곤,삼성,외야수,11/9/1988,"174cm, 81kg",회원초-경복중-제주관광고-영남대-삼성-상무
7,60,김호진,삼성,내야수,7/16/2005,"183cm, 84kg",송정동초-충장중-진흥고
8,0,디아즈,삼성,내야수,11/19/1996,"188cm, 105kg",도미니카 Daniel Smith(고)
9,43,레예스,삼성,투수,11/2/1996,"198cm, 113kg",도미니카 Melida Altagracia Baez(고)
10,16,류지혁,삼성,내야수,1/13/1994,"181cm, 75kg",청원초-선린중-충암고-두산-상무-두산-KIA
11,52,박병호,삼성,내야수,7/10/1986,"185cm, 107kg",영일초(광명리틀)-영남중-성남고-상무-LG-히어로즈-미네소타-넥센-키움-KT
12,107,박승규,삼성,외야수,9/2/2000,"178cm, 80kg",일산초-덕수중-경기고-삼성-상무
13,116,박장민,삼성,내야수,9/2/2003,"179cm, 80kg",칠성초-경상중-대구고
14,101,박주혁,삼성,투수,5/18/2001,"182cm, 82kg",남정초-덕수중-휘문고-삼성-상무
15,113,박준용,삼성,투수,12/19/2003,"184cm, 92kg",북삼초(구미시리틀)-구미중-경북고-수성대
16,111,박진우,삼성,포수,10/14/2003,"176cm, 87kg",글꽃초(대전중구리틀)-현도중-청주고
17,55,배찬승,삼성,투수,1/1/2006,"180cm, 85kg",옥산초-협성경복중-대구고
18,29,백정현,삼성,투수,7/13/1987,"184cm, 80kg",대구옥산초-대구중-대구상원고
19,46,송은범,삼성,투수,3/17/1984,"182cm, 93kg",서흥초-동산중-동산고-SK-KIA-한화-LG
0,110,신경민,삼성,투수,3/16/2004,"186cm, 103kg",칠성초-경상중-대구고
1,38,심재훈,삼성,내야수,3/3/2006,"180cm, 80kg",삼일초-평촌중-유신고
2,14,안주형,삼성,내야수,8/14/1993,"176cm, 68kg",부산중앙초-부산중-부경고-영남대
3,68,양도근,삼성,내야수,2/6/2003,"173cm, 72kg",인천동막초-상인천중-장안고-강릉영동대
4,53,양우현,삼성,내야수,4/13/2000,"175cm, 82kg",남정초-충암중-충암고
5,42,양창섭,삼성,투수,9/22/1999,"182cm, 85kg",녹천초(노원구리틀)-청량중-덕수고
6,19,양현,삼성,투수,8/23/1992,"189cm, 104kg",영랑초-한밭중-대전고-두산-상무-히어로즈-키움
7,21,오승환,삼성,투수,7/15/1982,"178cm, 93kg",도신초-우신중-경기고-단국대-삼성-한신-세인트루이스-토론토-콜로라도
8,103,오현석,삼성,내야수,3/5/2001,"183cm, 99kg",고명초-홍은중-안산공고
9,128,우승완,삼성,투수,9/6/2005,"186cm, 90kg",대전구봉초(계룡시리틀)-충남중-세광고
10,18,원태인,삼성,투수,4/6/2000,"183cm, 92kg",율하초(중구리틀)-경복중-경북고
11,102,유병선,삼성,투수,9/12/2005,"181cm, 84kg",무학초(성동구리틀)-청량중-경동고
12,4,육선엽,삼성,투수,7/13/2005,"190cm, 90kg",백마초-서울신월중-장충고
13,31,윤정빈,삼성,외야수,6/24/1999,"182cm, 93kg",신도초-부천중-부천고-삼성-상무
14,23,이병헌,삼성,포수,10/26/1999,"180cm, 87kg",인천숭의초-인천신흥중-제물포고
15,15,이상민,삼성,투수,11/4/1990,"180cm, 85kg",남도초(수성리틀)-대구중-경북고-동의대-NC-히어로즈-경찰-히어로즈-키움
16,13,이성규,삼성,외야수,8/3/1993,"178cm, 82kg",광주대성초-광주동성중-광주동성고-인하대-삼성-경찰
17,28,이승민,삼성,투수,8/26/2000,"174cm, 79kg",본리초-경상중-대구고-삼성-상무
18,57,이승현,삼성,투수,5/19/2002,"183cm, 102kg",남도초-경복중-대구상원고
19,20,이승현,삼성,투수,11/20/1991,"181cm, 92kg",화순초-진흥중-화순고-LG
0,26,이재익,삼성,투수,3/18/1994,"180cm, 76kg",삼일초-중앙중-유신고
1,7,이재현,삼성,내야수,2/4/2003,"180cm, 82kg",서울이수초-선린중-서울고
2,59,이재희,삼성,투수,10/11/2001,"187cm, 100kg",대전신흥초-한밭중-대전고-삼성-상무
3,117,이진용,삼성,외야수,6/30/2006,"183cm, 80kg",평택부용초(모현메이필드)-평택청담중-북일고
4,50,이창용,삼성,내야수,6/3/1999,"184cm, 89kg",을지초(노원구리틀)-청량중-신흥고-강릉영동대
5,56,이해승,삼성,내야수,8/1/2000,"180cm, 86kg",인천서림초-인천신흥중-인천고-삼성-상무
6,118,이현준,삼성,내야수,4/20/2001,"182cm, 80kg",연현초-금릉중-비봉고-한양대
7,1,이호성,삼성,투수,8/14/2004,"184cm, 87kg",도원초(부천소사리틀)-동인천중-인천고
8,45,임창민,삼성,투수,8/25/1985,"183cm, 94kg",광주대성초-광주동성중-광주동성고-연세대-히어로즈-경찰-히어로즈-NC-두산
9,34,전병우,삼성,내야수,10/24/1992,"182cm, 93kg",동삼초-경남중-개성고-동아대-롯데-키움
10,148,정민성,삼성,투수,5/9/2005,"184cm, 98kg",군산중앙초-군산중-군산상일고
11,104,주한울,삼성,외야수,6/8/2002,"183cm, 83kg",성동초-건대부중-배명고
12,115,진희성,삼성,투수,5/18/2006,"179cm, 90kg",인천서림초-우신중-동산고
13,106,차동영,삼성,포수,11/1/2002,"181cm, 82kg",갈곡초(기흥구리틀)-모가중-강릉고
14,35,차승준,삼성,내야수,11/20/2006,"181cm, 88kg",무학초-창원신월중-용마고
15,114,천겸,삼성,투수,1/25/2006,"179cm, 88kg",수영초-개성중-부산고
16,54,최성훈,삼성,투수,10/11/1989,"178cm, 75kg",가동초-잠신중-경기고-경희대-LG
17,109,최예한,삼성,투수,6/2/2002,"183cm, 90kg",양정초-포항제철중-포항제철고-성균관대
18,3,최원태,삼성,투수,1/7/1997,"184cm, 104kg",인헌초(용산구리틀)-서울경원중-서울고-히어로즈-키움-LG
19,11,최지광,삼성,투수,3/13/1998,"173cm, 85kg",감천초-대신중-부산고-삼성-상무
0,51,최충연,삼성,투수,3/5/1997,"190cm, 85kg",대구수창초-대구중-경북고
1,37,최하늘,삼성,투수,3/26/1999,"190cm, 99kg",서울학동초-자양중-경기고-롯데-상무
2,40,함수호,삼성,외야수,3/10/2006,"181cm, 88kg",구미인동초(구미시리틀)-협성경복중-대구상원고
3,65,홍원표,삼성,투수,3/27/2001,"183cm, 86kg",신도초-부천중-부천고
4,112,홍준영,삼성,투수,8/18/2004,"180cm, 76kg",중앙초(안산리틀)-일직중-경주고-동원과학기술대
5,63,홍현빈,삼성,외야수,8/29/1997,"174cm, 70kg",수원신곡초-매송중-유신고-KT-상무
6,61,황동재,삼성,투수,11/3/2001,"191cm, 97kg",율하초-경운중-경북고
7,75,후라도,삼성,투수,1/30/1996,"188cm, 109kg",파나마 San Judas Tadeo(고)-키움
0,100,강민,LG,투수,4/20/2001,"188cm, 88kg",수유초-홍은중-서울고
1,116,고영웅,LG,투수,7/29/2004,"180cm, 90kg",태전초(경기광주시리틀)-모가중-야로고BC-동원대
2,6,구본혁,LG,내야수,1/11/1997,"177cm, 75kg",중대초-잠신중-장충고-동국대-LG-상무
3,37,김강률,LG,투수,8/28/1988,"187cm, 95kg",문촌초(일산리틀)-장성중-경기고-두산-상무-두산
4,12,김대현,LG,투수,3/8/1997,"188cm, 100kg",홍연초(마포구리틀)-홍은중-선린인터넷고
5,107,김도윤,LG,내야수,2/17/2005,"180cm, 71kg",화중초(덕양구리틀)-경기신일중-야탑고
6,16,김민수,LG,내야수,3/18/1998,"184cm, 97kg",서화초-동산중-제물포고-롯데-경찰-롯데
7,55,김범석,LG,포수,5/21/2004,"178cm, 110kg",김해삼성초-경남중-경남고
8,44,김성우,LG,포수,11/15/2003,"180cm, 85kg",성동초-건대부중-배재고
9,36,김성진,LG,내야수,3/17/2000,"183cm, 100kg",수원신곡초-매향중-야탑고
10,103,김수인,LG,내야수,10/19/1997,"178cm, 81kg",광주화정초-자양중-신일고-중앙대
11,67,김영우,LG,투수,1/14/2005,"185cm, 90kg",양원초(서대문구리틀)-신월중-서울고
12,35,김영준,LG,투수,1/12/1999,"185cm, 90kg",인천연학초-선린중-선린인터넷고
13,129,김웅,LG,투수,5/10/2002,"191cm, 96kg",동막초-동산중-인천고-강릉영동대
14,0,김유영,LG,투수,5/2/1994,"180cm, 83kg",양정초-개성중-경남고-롯데-상무-롯데
15,115,김의준,LG,투수,10/16/1999,"183cm, 80kg",학강초-광주동성중-광주동성고
16,122,김종운,LG,투수,9/11/2006,"186cm, 85kg",국산초(거제시리틀)-동강중-창원공고
17,5,김주성,LG,내야수,1/30/1998,"180cm, 81kg",수원신곡초-덕수중-휘문고
18,57,김주온,LG,투수,12/8/1996,"187cm, 89kg",울산대현초-구미중-울산공고-SK-SSG
19,120,김지용,LG,투수,10/7/2002,"180cm, 75kg",구리초(구리리틀)-구리인창중-라온고
0,42,김진성,LG,투수,3/7/1985,"186cm, 90kg",인헌초-성남중-성남서고-SK-NC
1,45,김진수,LG,투수,8/31/1998,"179cm, 82kg",이세초-군산중-군산상고-중앙대
2,22,김현수,LG,외야수,1/12/1988,"188cm, 105kg",쌍문초-신일중-신일고-두산-볼티모어-필라델피아
3,66,김현종,LG,외야수,8/4/2004,"186cm, 85kg",상인천초-동인천중-인천고
4,102,김형욱,LG,투수,1/29/2002,"187cm, 90kg",동일중앙초-부산중-부산고
5,2,문보경,LG,내야수,7/19/2000,"182cm, 88kg",송중초(동대문구리틀)-덕수중-신일고
6,8,문성주,LG,외야수,2/20/1997,"175cm, 78kg",포항서초-포항제철중-경북고-강릉영동대
7,53,문정빈,LG,내야수,8/15/2003,"186cm, 90kg",가동초-잠신중-서울고
8,123,박건우,LG,내야수,10/19/1998,"180cm, 85kg",송정동초-광주동성중-광주동성고-단국대
9,64,박관우,LG,외야수,3/22/2006,"174cm, 82kg",욱수초(경산시리틀)-경운중-경북고
10,27,박동원,LG,포수,4/7/1990,"178cm, 92kg",양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA
11,39,박명근,LG,투수,3/27/2004,"174cm, 75kg",수택초(구리리틀)-구리인창중-라온고
12,106,박민호,LG,포수,4/6/1998,"177cm, 80kg",본리초-경상중-대구상원고-경남대
13,121,박시원,LG,투수,4/12/2006,"193cm, 93kg",송수초(해운대구리틀)-센텀중-경남고
14,17,박해민,LG,외야수,2/24/1990,"180cm, 75kg",영중초-양천중-신일고-한양대-삼성
15,25,배재준,LG,투수,11/24/1994,"188cm, 85kg",본리초-경상중-대구상원고
16,114,백선기,LG,투수,8/27/1998,"186cm, 70kg",남도초-경상중-대구상원고-KT
17,61,백승현,LG,투수,5/26/1995,"183cm, 90kg",소래초-상인천중-인천고
18,60,서영준,LG,외야수,3/18/2006,"186cm, 90kg",화정초-진흥중-전주고
19,34,성동현,LG,투수,5/18/1999,"189cm, 108kg",백마초-홍은중-장충고
0,118,성준서,LG,투수,4/9/2006,"190cm, 96kg",빛가온초(광명시리틀)-평촌중-경기항공고
1,113,손용준,LG,내야수,2/15/2000,"178cm, 85kg",김해화정초(김해시리틀)-내동중-김해고-동원과학기술대
2,29,손주영,LG,투수,12/2/1998,"191cm, 95kg",울산대현초-개성중-경남고
3,13,송승기,LG,투수,4/10/2002,"180cm, 90kg",삼일초-매향중-야탑고-LG-상무
4,14,송찬의,LG,외야수,2/20/1999,"182cm, 77kg",화곡초-선린중-선린인터넷고
5,4,신민재,LG,내야수,1/21/1996,"171cm, 67kg",서흥초-동인천중-인천고
6,108,심규빈,LG,외야수,3/27/2001,"181cm, 81kg",잠전초(동대문구리틀)-언북중-서울고-성균관대
7,28,심창민,LG,투수,2/1/1993,"185cm, 86kg",동삼초-경남중-경남고-삼성-상무-삼성-NC
8,109,안시후,LG,투수,5/2/2006,"190cm, 84kg",신곡초-안산중앙중-부천고
9,15,안익훈,LG,외야수,2/12/1996,"176cm, 76kg",대전신흥초-충남중-대전고
10,30,에르난데스,LG,투수,5/3/1995,"185cm, 97kg",베네수엘라 U.E.N Monsenor Perez Leon(고)
11,23,오스틴,LG,내야수,10/14/1993,"183cm, 97kg",미국 Klein Collins(고)
12,10,오지환,LG,내야수,3/12/1990,"185cm, 80kg",군산초-자양중-경기고
13,20,우강훈,LG,투수,10/3/2002,"183cm, 88kg",희망대초-매송중-야탑고-롯데
14,110,우정안,LG,내야수,1/3/2006,"181cm, 79kg",의왕부곡초-이수중-덕수고
15,54,유영찬,LG,투수,3/7/1997,"185cm, 90kg",덕성초(안산리틀)-배명중-배명고-건국대
16,105,이믿음,LG,투수,7/18/2000,"188cm, 80kg",노암초-경포중-강릉고-강릉영동대
17,7,이영빈,LG,내야수,6/17/2002,"181cm, 85kg",대전동산초(대전중구리틀)-충남중-세광고-LG-상무
18,21,이우찬,LG,투수,8/4/1992,"185cm, 97kg",온양온천초-온양중-북일고-LG-경찰
19,40,이종준,LG,투수,3/9/2001,"191cm, 93kg",군산중앙초-군산남중-군산상고
0,26,이주헌,LG,포수,3/4/2003,"185cm, 92kg",서울이수초-성남중-성남고
1,32,이지강,LG,투수,7/2/1999,"183cm, 85kg",수원선일초-수원북중-소래고
2,65,이태훈,LG,내야수,8/21/2006,"183cm, 83kg",가동초-덕수중-경동고
3,0,이한림,LG,포수,11/18/2006,"182cm, 92kg",해남동초(해남군리틀)-화순중-전주고
4,59,임준형,LG,투수,11/16/2000,"180cm, 87kg",광주서석초-진흥중-진흥고-LG-상무
5,1,임찬규,LG,투수,11/20/1992,"185cm, 80kg",가동초-청원중-휘문고-LG-경찰
6,50,장현식,LG,투수,2/24/1995,"181cm, 91kg",신도초-서울이수중-서울고-NC-경찰-NC-KIA
7,128,전경원,LG,포수,3/18/1999,"184cm, 95kg",연현초-성남중-성남고-SK-상무-SSG
8,111,전준호,LG,투수,7/1/1998,"181cm, 80kg",양도초-강남중-청원고
9,18,정우영,LG,투수,8/19/1999,"193cm, 99kg",가평초-강남중-서울고
10,49,정지헌,LG,투수,1/1/2003,"180cm, 85kg",동수원초(수원영통리틀)-매향중-유신고-고려대(얼리 드래프트)
11,101,조건희,LG,투수,3/26/2002,"184cm, 84kg",계상초(노원구리틀)-상명중-서울고
12,48,진우영,LG,투수,2/5/2001,"188cm, 97kg",성동초-글로벌선진학교
13,62,최승민,LG,외야수,7/1/1996,"181cm, 73kg",서울학동초-대치중-신일고-상무-NC
14,112,최용하,LG,투수,11/29/2002,"183cm, 84kg",응암초(서대문구리틀)-동도중-서울디자인고
15,3,최원영,LG,외야수,7/18/2003,"174cm, 76kg",부산수영초-사직중-부산고
16,56,최채흥,LG,투수,1/22/1995,"186cm, 97kg",동천초-포항중-대구상원고-한양대-삼성-상무-삼성
17,63,추세현,LG,투수,4/19/2006,"187cm, 90kg",성신초(중구리틀)-청량중-경기상고
18,46,치리노스,LG,투수,12/26/1993,"188cm, 102kg",베네수엘라 U.E.N heroes nigales(고)
19,119,하영진,LG,투수,2/28/2001,"182cm, 80kg",안산상록초-원주중-원주고
0,11,함덕주,LG,투수,1/13/1995,"181cm, 78kg",일산초-원주중-원주고-두산
1,24,함창건,LG,외야수,8/18/2001,"176cm, 83kg",백운초-충암중-충암고
2,43,허용주,LG,투수,6/5/2003,"194cm, 88kg",사파초-마산동중-용마고
3,58,허준혁,LG,투수,7/2/1999,"178cm, 85kg",가평초(가평군리틀)-영동중-경기고-한일장신대-LG-상무
4,51,홍창기,LG,외야수,11/21/1993,"189cm, 94kg",대일초-매송중-안산공고-건국대-LG-경찰
0,104,강동형,두산,외야수,12/7/1999,"186cm, 86kg",용인초(구리리틀)-마산중-배명고-경성대
